Rank	Soil	Compartment	OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	Kingdom	Phylum	Class	Order	Family	Genus	Species	Clustering	Assignment	PhyClass
16	OTU	A	BS	New.ReferenceOTU884	5.6219036362304	3.49792630701573	0.624765201145881	5.59878543267164	2.15858765613254e-08	5.16550026112518e-05	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	unclassified	unclassified	unclassified	DeNovo	Microbial	Gemmatimonadetes
17	OTU	A	BS	New.ReferenceOTU26	4.43617779751925	3.1223180358869	0.644730777762806	4.84282454565181	1.28006314199196e-06	0.00306319109878677	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified	DeNovo	Microbial	Actinobacteria
18	OTU	A	BS	New.CleanUp.ReferenceOTU33320	10.9958310890555	-7.48336311657535	1.59083240213136	-4.70405500073379	2.55044491774897e-06	0.00610321468817328	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	DeNovo	Microbial	Firmicutes
19	OTU	A	BS	New.CleanUp.ReferenceOTU72996	3.57966465942872	-7.44627109363264	1.63357871811556	-4.55825667355804	5.15799774569585e-06	0.0123430886054502	Bacteria	Firmicutes	Clostridia	Clostridiales	Symbiobacteriaceae	Symbiobacterium	unclassified	DeNovo	Microbial	Firmicutes
20	OTU	A	RS	1033426	22.6228439989442	2.12731258505276	0.345691364591002	6.15379151159777	7.56521240221845e-10	3.69938886468482e-06	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	unclassified	Reference	Microbial	Actinobacteria
21	OTU	A	RS	817013	5.75794376527474	3.35087289077493	0.721116055894508	4.64678724511042	3.37144561424677e-06	0.0164863690536667	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	vinacea	Reference	Microbial	Actinobacteria
22	OTU	A	RS	328081	4.11577431385405	2.61160150780813	0.405574412327517	6.43926596064241	1.20052675285732e-10	5.8705758214723e-07	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
23	OTU	A	RS	877952	4.30861558237297	-1.98968629862641	0.415888008141047	-4.78418771322595	1.71680186543211e-06	0.008395161121963	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	unclassified	Reference	Microbial	Acidobacteria
24	OTU	A	RS	334906	1.88196796688019	4.30056180968253	0.779764151155243	5.51520841694391	3.48366871983453e-08	0.000170351400399908	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinoallomurus	unclassified	Reference	Microbial	Actinobacteria
25	OTU	A	RS	919487	12.3630360277745	7.31979363141567	0.567439846426309	12.8996821028963	4.51957744578904e-38	2.21007337099084e-34	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
26	OTU	A	RS	844535	14.855477516428	5.24869948202846	1.03208585113844	5.08552605022044	3.66608505796237e-07	0.0017927155933436	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Asticcacaulis	unclassified	Reference	Microbial	Proteobacteria.Alphaproteobacteria
27	OTU	A	RS	771082	11.0843737163143	-1.65616814828721	0.327417630424695	-5.05827418682063	4.23067839788153e-07	0.00206880173656407	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BA008	unclassified	unclassified	Reference	Microbial	Bacteroidetes
28	OTU	A	RS	811387	3.47587807250164	-2.20599652997077	0.354294613588581	-6.22644670667347	4.77132419078024e-10	2.33317752929154e-06	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Reference	Microbial	Bacteroidetes
29	OTU	A	RS	558911	10.7442272689658	2.20012099260376	0.427739327835134	5.14360230502762	2.69519773878319e-07	0.00131795169426498	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Kribbella	unclassified	Reference	Microbial	Actinobacteria
30	OTU	A	RS	130872	14.1919080515058	-2.431056010786	0.499565867145911	-4.86633729537	1.13685432359695e-06	0.00555921764238911	Bacteria	Firmicutes	Clostridia	OPB54	unclassified	unclassified	unclassified	Reference	Microbial	Firmicutes
31	OTU	A	RS	1084157	28.7168863342701	2.06828073856794	0.313517623946094	6.59701586320891	4.19515892696463e-11	2.05143271528571e-07	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus	unclassified	Reference	Microbial	Actinobacteria
32	OTU	A	RS	220201	24.2593670678058	-1.97505641978738	0.409584215053048	-4.82210091893209	1.42054039323969e-06	0.00694644252294206	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	unclassified	Reference	Microbial	Acidobacteria
33	OTU	A	RS	570486	0.401514190285049	4.9257773536959	1.0715469903954	4.59688412906493	4.28855953398764e-06	0.0209710561211996	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	unclassified	Reference	Microbial	Actinobacteria
34	OTU	A	RS	113142	7.09619363044846	-1.69681150644387	0.344262280523349	-4.92883363191683	8.27219768679387e-07	0.0040451046688422	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Reference	Microbial	Bacteroidetes
35	OTU	A	RS	139580	12.7234539411486	-2.5241743004823	0.41839381507285	-6.03301055022241	1.60932904207769e-09	7.86961901575992e-06	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	unclassified	Reference	Microbial	Euryarchaeota
36	OTU	A	RS	810959	17.255108085934	3.07661102493392	0.343265992475116	8.96276092702935	3.16648589048637e-19	1.54841160044784e-15	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus	unclassified	Reference	Microbial	Actinobacteria
37	OTU	A	RS	1099157	1.29693836847132	4.27269756856801	0.818721794558004	5.2187416983014	1.80142785515693e-07	0.000880898221171741	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	unclassified	Reference	Microbial	Proteobacteria.Gammaproteobacteria
38	OTU	A	RS	4471847	3.61808340059013	-2.81483640065998	0.492206525574234	-5.71881162562004	1.07271636927386e-08	5.24558304574917e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified	Reference	Microbial	Firmicutes
39	OTU	A	RS	820738	2.22206770112821	9.255516206876	1.35160764945005	6.84778323845827	7.50030933519467e-12	3.66765126491019e-08	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
40	OTU	A	RS	113334	1.11511785289059	-3.11679372838025	0.667539739892952	-4.66907592479822	3.02557555743909e-06	0.0147950644758771	Bacteria	WS3	PRR-12	Sediment-1	unclassified	unclassified	unclassified	Reference	Microbial	WS3
41	OTU	A	RS	286918	3.98673201185098	-2.32790306602213	0.384489170705979	-6.05453480457658	1.40824026087116e-09	6.88629487565999e-06	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Reference	Microbial	Bacteroidetes
42	OTU	A	RS	1033380	23.3738914536007	4.57935742024234	0.315185984634939	14.529064246135	7.92962467805356e-48	3.87758646756819e-44	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
43	OTU	A	RS	512938	2.29956210192169	-2.12584500338028	0.40701045016582	-5.22307228847366	1.75978650236873e-07	0.00086053559965831	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophorhabdaceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
44	OTU	A	RS	211929	6.39082436456433	-2.06729131549552	0.443778259789164	-4.65838798970837	3.18695132842561e-06	0.0155841919960013	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified	Reference	Microbial	Acidobacteria
45	OTU	A	RS	4297391	9.18168937914933	3.40000529302957	0.443302650980161	7.66971567959725	1.7237802012486e-14	8.42928518410568e-11	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Terracoccus	unclassified	Reference	Microbial	Actinobacteria
46	OTU	A	RS	4306131	1.18067598335483	-2.3792862626909	0.475642293265317	-5.00225967366555	5.66621961888707e-07	0.00277078139363578	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified	Reference	Microbial	Acidobacteria
47	OTU	A	RS	111050	12.6568508284596	2.01338133292789	0.30649525286156	6.56904573278109	5.0638731363603e-11	2.47623396368019e-07	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
48	OTU	A	RS	820412	0.927743902621088	-3.77707154656431	0.592472582688248	-6.37509929898607	1.82844443627708e-10	8.94109329339492e-07	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
49	OTU	A	RS	146122	4.3121830377691	2.62127535659888	0.336732759991592	7.7844381896918	7.00236671636313e-15	3.42415732430157e-11	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
50	OTU	A	RS	224740	2.195809226397	-2.04614182221377	0.430691990515085	-4.75082394675297	2.02589459128421e-06	0.00990662455137979	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
51	OTU	A	RS	2079834	2.57506153795435	-2.17977732007078	0.439050328360503	-4.96475501615153	6.87878452776675e-07	0.00336372563407794	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified	Reference	Microbial	Acidobacteria
52	OTU	A	RS	93175	1.13239434204483	3.24343168246378	0.577978693331442	5.61168036103336	2.00371297208765e-08	9.79815643350863e-05	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	unclassified	Reference	Microbial	Actinobacteria
53	OTU	A	RS	4345857	5.59278769407824	4.02754944842218	0.79244224852069	5.08245169403916	3.72594084770776e-07	0.0018219850745291	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	unclassified	unclassified	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
54	OTU	A	RS	1053775	34.0079480822954	2.20901088265688	0.454971058271439	4.85527780832812	1.20218084537262e-06	0.00587866433387209	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	unclassified	Reference	Microbial	Proteobacteria.Alphaproteobacteria
55	OTU	A	RS	543083	3.59455206629867	-1.87287319857313	0.367696958029421	-5.09352377732554	3.51468947988626e-07	0.00171868315566438	Bacteria	Acidobacteria	BPC102	MVS-40	unclassified	unclassified	unclassified	Reference	Microbial	Acidobacteria
56	OTU	A	RS	1015017	14.9904955548916	2.91888383210927	0.625106503037827	4.66941843977688	3.02053586632446e-06	0.0147704203863266	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
57	OTU	A	RS	1023165	13.2758567590168	-1.32299151145721	0.244242749895135	-5.41670740288188	6.07065631381365e-08	0.000296855093745487	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin515	unclassified	unclassified	Reference	Microbial	Verrucomicrobia
58	OTU	A	RS	1081618	5.96145151760406	1.62701759191873	0.346912059417891	4.69000009584223	2.73204920952329e-06	0.0133597206345689	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
59	OTU	A	RS	350446	3.21124560245012	-1.54997857018285	0.345963120133626	-4.48018438955047	7.45785829633703e-06	0.0364689270690881	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	unclassified	Reference	Microbial	Acidobacteria
60	OTU	A	RS	736463	41.0731238052943	-1.64699194853289	0.244166651646927	-6.74535993111169	1.52648134219924e-11	7.46449376335428e-08	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	unclassified	Reference	Microbial	Acidobacteria
61	OTU	A	RS	4439656	6.31874509751701	-6.35830017196239	1.23055470066626	-5.16701953072042	2.37856416711126e-07	0.0011631178777174	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
62	OTU	A	RS	1121898	31.7947240869513	1.48567313704256	0.282541553558084	5.25824650687052	1.45435484830952e-07	0.000711179520823358	Bacteria	Chloroflexi	Anaerolineae	GCA004	unclassified	unclassified	unclassified	Reference	Microbial	Chloroflexi
63	OTU	A	RS	999038	4.65542910504886	-1.82776289876851	0.398223469533012	-4.58979201027977	4.43687894830661e-06	0.0216963380572193	Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin515	unclassified	unclassified	Reference	Microbial	Verrucomicrobia
64	OTU	A	RS	562367	0.808298887840506	4.35003390115975	0.917444980502786	4.74146569397089	2.12177589713119e-06	0.0103754841369715	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
65	OTU	A	RS	1000876	1.58156985689153	3.52319357111842	0.429958581042418	8.19426271846133	2.52133821463332e-16	1.2329343869557e-12	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	unclassified	Reference	Microbial	Actinobacteria
66	OTU	A	RS	1132235	3.18083360460495	2.86840227582231	0.394264920038036	7.27531700143545	3.45607907338731e-13	1.6900226668864e-09	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
67	OTU	A	RS	3288891	32.30184154141	-1.98090161504548	0.350525346170992	-5.65123645603408	1.5929777905483e-08	7.7896613957812e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified	unclassified	unclassified	Reference	Microbial	Bacteroidetes
68	OTU	A	RS	354765	10.5469432377596	2.82520267339688	0.512887985814124	5.50842045736818	3.62067777136277e-08	0.00017705114301964	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
69	OTU	A	RS	371783	6.31224505220244	1.72537282617875	0.268505529320882	6.42583722779436	1.31145677743063e-10	6.41302364163576e-07	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
70	OTU	A	RS	112949	1.53840543310378	1.88472123627142	0.397089242443214	4.74634171571885	2.07128671994644e-06	0.0101285920605381	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23	unclassified	unclassified	Reference	Microbial	Chloroflexi
71	OTU	A	RS	729145	21.6318186635519	-1.99873489757895	0.289813221270475	-6.89663117789088	5.32501943075378e-12	2.6039345016386e-08	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	unclassified	Reference	Microbial	Acidobacteria
72	OTU	A	RS	1725261	1.60309550119543	-3.25079576788685	0.649275108142917	-5.00680794183671	5.53400952913666e-07	0.00270613065974783	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
73	OTU	A	RS	510174	2.06174677851803	1.94370084545186	0.393861826435797	4.93498154680574	8.01583382341803e-07	0.00391974273965142	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
74	OTU	A	RS	1081815	33.3542766858793	2.23659124750859	0.419115246086542	5.33645881029764	9.47793904399043e-08	0.000463471219251132	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
75	OTU	A	RS	637420	8.82496889170472	1.76121327305649	0.359600761341851	4.89769061245733	9.69695532735657e-07	0.00474181115507736	Bacteria	Chloroflexi	Anaerolineae	GCA004	unclassified	unclassified	unclassified	Reference	Microbial	Chloroflexi
76	OTU	A	RS	244000	0.998122364339153	3.89485843832168	0.852101152063799	4.57088742209571	4.85663150731698e-06	0.02374892807078	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Amycolatopsis	unclassified	Reference	Microbial	Actinobacteria
77	OTU	A	RS	303643	26.6331607705556	1.82560346962134	0.353911200201999	5.15836590811298	2.49114419357767e-07	0.00121816951065948	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Alphaproteobacteria
78	OTU	A	RS	512148	4.62485221766036	2.32536114026718	0.386226360962186	6.02072094321613	1.73641902296624e-09	8.49108902230491e-06	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
79	OTU	A	RS	813945	22.5238629011628	4.28194868179089	0.929191263479556	4.60825327366534	4.06065845919524e-06	0.0198566198654647	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Gammaproteobacteria
80	OTU	A	RS	589504	4.25003578293619	5.00792134250058	1.08751049476543	4.60494070319823	4.12583404889671e-06	0.0201753284991049	Bacteria	Proteobacteria	Betaproteobacteria	SBla14	unclassified	unclassified	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
81	OTU	A	RS	332725	65.0350586183022	4.31099038954635	0.474166723075927	9.09171854486306	9.74857795804739e-20	4.76705462148517e-16	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
82	OTU	A	RS	137882	3.69286097388304	-3.44835794188332	0.667864457949488	-5.16326015082557	2.42685485064556e-07	0.00118673202196568	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	BSV43	unclassified	Reference	Microbial	Firmicutes
83	OTU	A	RS	3319380	2.04322104068874	4.00804545396393	0.727135390769761	5.5121033920807	3.54570517557318e-08	0.000173384983085529	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
84	OTU	A	RS	1147608	3.42022629221299	-2.49674622475565	0.506063965803714	-4.93365739010957	8.07039526836014e-07	0.00394642328622811	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	unclassified	Reference	Microbial	Acidobacteria
85	OTU	A	RS	582988	29.8762217533614	2.9524069928933	0.612255714885824	4.82217955849359	1.41998031534603e-06	0.00694370374204208	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	unclassified	unclassified	Reference	Microbial	Bacteroidetes
86	OTU	A	RS	26494	7.26867130212725	-1.55368590128189	0.326271153854511	-4.7619468743311	1.91734163740785e-06	0.00937580060692439	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	unclassified	unclassified	Reference	Microbial	Chlorobi
87	OTU	A	RS	1106617	344.464055445049	2.34880255290072	0.479657501720865	4.89683272850717	9.73936738175332e-07	0.00476255064967737	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	unclassified	Reference	Microbial	Proteobacteria.Betaproteobacteria
88	OTU	A	RS	1697007	3.90723269160756	-2.24615896370636	0.393735967572034	-5.70473400628665	1.16524909899288e-08	5.69806809407519e-05	Bacteria	Acidobacteria	BPC102	MVS-40	unclassified	unclassified	unclassified	Reference	Microbial	Acidobacteria
89	OTU	A	RS	592970	173.418855995506	-2.06527504378731	0.223220656544348	-9.25216812708815	2.19984338622127e-20	1.0757234158622e-16	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter	unclassified	Reference	Microbial	Proteobacteria.Deltaproteobacteria
90	OTU	A	RS	854050	4.83987087735567	2.16566285662207	0.487767470929724	4.43994933178743	8.9980059951045e-06	0.044000249316061	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified	Reference	Microbial	Firmicutes
91	OTU	A	RS	580173	3.23741655519563	1.79629600294018	0.361622061722252	4.96732968775519	6.78811289888087e-07	0.00331938720755274	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
92	OTU	A	RS	4384233	3.18682782512834	-3.07804011397132	0.396089169177997	-7.77107872037798	7.78205139062919e-15	3.80542313001767e-11	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter	unclassified	Reference	Microbial	Acidobacteria
93	OTU	A	RS	512654	4.00211436145791	-2.62815882903279	0.484331372544994	-5.42636504264161	5.7513274443193e-08	0.000281239912027214	Bacteria	OP3	PBS-25	unclassified	unclassified	unclassified	unclassified	Reference	Microbial	OP3
94	OTU	A	RS	112867	95.5727848155699	1.01567050167428	0.207721939184595	4.88956778307222	1.01057620819601e-06	0.00494171765807846	Bacteria	Chloroflexi	Ellin6529	unclassified	unclassified	unclassified	unclassified	Reference	Microbial	Chloroflexi
95	OTU	A	RS	1047075	0.523669427862294	4.65106920082181	0.861928896567702	5.39611703394896	6.80985364239511e-08	0.000333001843113121	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	unclassified	Reference	Microbial	Actinobacteria
96	OTU	A	RS	261663	13.3738300428499	1.55115137550405	0.276489628781046	5.6101611562885	2.02138288656745e-08	9.88456231531485e-05	Bacteria	Chloroflexi	TK10	AKYG885	Dolo_23	unclassified	unclassified	Reference	Microbial	Chloroflexi
97	OTU	A	RS	223904	46.7867899018693	-2.28426726721172	0.287701592112599	-7.93971020611425	2.0265417133292e-15	9.90978897817979e-12	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus Koribacter	unclassified	Reference	Microbial	Acidobacteria
98	OTU	A	RS	957362	2.1767309838698	1.86904736496655	0.35543784952272	5.25843651000112	1.45285327730163e-07	0.000710445252600497	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	unclassified	unclassified	unclassified	Reference	Microbial	Actinobacteria
99	OTU	A	RS	589327	1.67756507014346	-3.53645558169031	0.370603102227492	-9.54243383402516	1.39518863329297e-21	6.82247241680261e-18	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	unclassified	unclassified	Reference	Microbial	Acidobacteria
100	OTU	A	RS	1083949	6.57122440392515	2.29250209669007	0.51822422461821	4.42376482569688	9.69956038836219e-06	0.0474308502990911	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sporichthyaceae	unclassified	unclassified	Reference	Microbial	Actinobacteria
